"SubID","EffLvl","IsRewarded","EfficacyProbeResp","RewRateProbeResp"
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,"1.000000000"
"1042","Efficacy","NoReward",NA,NA
"1042","Efficacy","NoReward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward","0.975000000",NA
"1042","NoEfficacy","NoReward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.408333333"
"1042","NoEfficacy","NoReward",NA,NA
"1042","Efficacy","Reward","0.350000000",NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,"0.916666667"
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward","0.925000000",NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","NoReward",NA,"0.508333333"
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","NoReward","0.925000000",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.875000000"
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","NoReward",NA,NA
"1042","NoEfficacy","Reward","0.800000000",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","NoReward",NA,"0.800000000"
"1042","NoEfficacy","NoReward",NA,NA
"1042","Efficacy","NoReward","0.833333333",NA
"1042","NoEfficacy","NoReward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.966666667"
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","NoReward",NA,NA
"1042","Efficacy","Reward","0.975000000",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","NoReward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.775000000"
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward","0.225000000",NA
"1042","NoEfficacy","NoReward",NA,NA
"1042","NoEfficacy","NoReward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","NoReward",NA,"0.291666667"
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","NoReward","0.791666667",NA
"1042","NoEfficacy","NoReward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,"0.675000000"
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward","0.225000000",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,"1.000000000"
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","NoReward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward","0.325000000",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","NoReward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,"0.516666667"
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward","0.625000000",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","NoReward",NA,"0.558333333"
"1042","NoEfficacy","NoReward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward","0.641666667",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.925000000"
"1042","NoEfficacy","NoReward",NA,NA
"1042","Efficacy","NoReward","0.875000000",NA
"1042","Efficacy","NoReward",NA,NA
"1042","Efficacy","Reward",NA,"0.758333333"
"1042","Efficacy","NoReward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","NoReward","0.975000000",NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","NoReward",NA,"0.533333333"
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","NoReward","0.950000000",NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,"0.933333333"
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","NoReward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward","0.216666667",NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","NoReward",NA,"0.458333333"
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward","0.916666667",NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.741666667"
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","NoReward",NA,NA
"1042","Efficacy","NoReward","0.875000000",NA
"1043","NoEfficacy","Reward",NA,NA
"1043","Efficacy","NoReward",NA,NA
"1043","Efficacy","NoReward",NA,NA
"1043","NoEfficacy","Reward",NA,NA
"1043","NoEfficacy","Reward",NA,"0.508333333"
"1043","Efficacy","NoReward",NA,NA
"1043","Efficacy","NoReward",NA,NA
"1043","NoEfficacy","NoReward",NA,NA
"1043","Efficacy","Reward","0.433333333",NA
"1043","Efficacy","Reward",NA,NA
"1043","NoEfficacy","NoReward",NA,NA
"1043","NoEfficacy","NoReward",NA,"0.241666667"
