session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Current U.S state of residence,Employment Status,First Language,Nationality,Sex,Student Status,Vision
60ef30c37ed08db4a357975c,60e765737852d0a000476e52,APPROVED,2021-07-14 18:45:25.201000,2021-07-14 19:59:50.758000,4465.557,29,49,0,100,2021-07-15 14:14:13.188000,2C95CFEE,United States,United States,Indiana (IN),Full-Time,English,United States,Female,Yes,Yes
60ef336ed1e78337864e12e4,5f2bfd57a0345701a56c4479,RETURNED,2021-07-14 18:56:50.985000,,71205.32657,40,47,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60ef34956642a3a5caf53b7b,60ed002ab14443e94a7162b6,AWAITING REVIEW,2021-07-14 19:01:45.361000,2021-07-14 20:00:59.565000,3554.204,40,22,0,100,,NOCODE,United States,United States,Massachusetts (MA),Full-Time,English,United States,Male,Yes,Yes
60ef36513b06b6c9165e7b3b,60ec94e79b8d7d3e1cc8544d,APPROVED,2021-07-14 19:09:08.341000,2021-07-14 20:26:01.560000,4613.219,24,20,2,94,2021-07-15 14:14:14.437000,2C95CFEE,Colombia,United States,California (CA),Due to start a new job within the next month,Spanish,United States,Female,Yes,Yes
60ef399223352fe007075feb,5e7ccba0726b2a32587ab3db,APPROVED,2021-07-14 19:23:01.759000,2021-07-14 20:34:07.961000,4266.202,28,234,0,100,2021-07-15 14:14:15.910000,2C95CFEE,Ecuador,United States,Texas (TX),DATA EXPIRED,Spanish,United States,Male,DATA EXPIRED,Yes
60ef3ca88b905e305a790426,5c44c6ea4c194d00019cea9c,APPROVED,2021-07-14 19:37:22.027000,2021-07-14 20:46:30.517000,4148.49,21,308,0,100,2021-07-15 14:14:17.694000,2C95CFEE,United States,United States,Indiana (IN),Unemployed (and job seeking),English,United States,Male,DATA EXPIRED,Yes
60ef3d1427da92065a3d91ea,60ee600d036767a3e000cecf,APPROVED,2021-07-14 19:38:02.043000,2021-07-14 22:03:12.915000,8710.872,23,10,0,100,2021-07-15 14:14:19.883000,2C95CFEE,United States,United States,Pennsylvania (PA),Unemployed (and job seeking),English,United States,Female,No,Yes
60ef3de014879195acdec816,60eb5f08907142478274aa20,APPROVED,2021-07-14 19:41:29.049000,2021-07-14 21:22:51.276000,6082.227,21,33,0,100,2021-07-15 14:14:21.065000,2C95CFEE,United States,United States,New York (NY),Unemployed (and job seeking),English,United States,Female,Yes,Yes
60ef401f9e578133afab4cf2,60eb70ffed340b865e2849d1,APPROVED,2021-07-14 19:50:59.835000,2021-07-14 21:01:29.277000,4229.442,49,9,0,100,2021-07-15 14:14:22.472000,2C95CFEE,United States,United States,Illinois (IL),Full-Time,English,United States,Male,No,Yes
60ef408de7b2abb346067aec,5ed5afc6e8229914710ada06,APPROVED,2021-07-14 19:52:45.766000,2021-07-14 21:11:45.311000,4739.545,22,459,0,100,2021-07-15 14:14:23.552000,2C95CFEE,United States,United States,Texas (TX),Full-Time,English,United States,Female,No,Yes
60ef42ec6dfc1c98928376a1,60ef2a507d49c144a9ad5ead,APPROVED,2021-07-14 20:03:03.907000,2021-07-14 21:14:09.594000,4265.687,21,3,0,100,2021-07-15 14:14:26.102000,2C95CFEE,United States,United States,Minnesota (MN),Due to start a new job within the next month,English,United States,Female,Yes,Yes
60ef44741dfc7540424c600d,60ed990d6916c785bd3135b1,APPROVED,2021-07-14 20:09:28.789000,2021-07-14 21:25:48.826000,4580.037,29,25,0,100,2021-07-15 14:14:27.597000,2C95CFEE,United States,United States,New Jersey (NJ),Part-Time,English,United States,Female,No,Yes
60ef45312191c8049328732d,55b6a2e5fdf99b350d57360e,APPROVED,2021-07-14 20:12:35.401000,2021-07-14 21:24:25.119000,4309.718,41,207,1,100,2021-07-15 14:14:28.836000,2C95CFEE,United States,United States,Minnesota (MN),DATA EXPIRED,English,United States,Female,DATA EXPIRED,Yes
60ef45371ec105edd12130d6,5e6784bc622ffe000c766b4b,AWAITING REVIEW,2021-07-14 20:14:53.740000,2021-07-14 21:52:27.156000,5853.416,35,162,1,100,,NOCODE,United States,United States,Ohio (OH),DATA EXPIRED,English,United States,Female,DATA EXPIRED,Yes
60ef46f03d1d88d969d32c8d,60e7a352e4b758944181d9df,APPROVED,2021-07-14 20:20:05.325000,2021-07-14 21:37:47.156000,4661.831,32,47,0,100,2021-07-15 14:14:30.756000,2C95CFEE,United States,United States,Missouri (MO),Part-Time,English,United States,Female,Yes,Yes
60ef47932e85d2cd4e2b661b,60e24bf1861d22cc3415dbb0,APPROVED,2021-07-14 20:22:47.655000,2021-07-14 21:30:34.422000,4066.767,24,46,0,100,2021-07-15 14:14:32.012000,2C95CFEE,United States,United States,Nevada (NV),Full-Time,English,United States,Female,No,Yes
